Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1978 April,Not Available,Not Available,51.111,51.111,Not Available,Not Available,Not Available,Not Available,0.973,Not Available,Not Available,0.973,0.973,2.848,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.952,Not Available,Not Available,Not Available,262.192,1.989,Not Available,Not Available,0.057,0.105,0.162,264.343
1978 May,Not Available,Not Available,52.815,52.815,Not Available,Not Available,Not Available,Not Available,1.005,Not Available,Not Available,1.005,1.005,3.237,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,122.177,Not Available,Not Available,Not Available,297.951,1.772,Not Available,Not Available,0.047,0.117,0.163,299.886
1978 June,Not Available,Not Available,51.111,51.111,Not Available,Not Available,Not Available,Not Available,0.973,Not Available,Not Available,0.973,0.973,2.828,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.931,Not Available,Not Available,Not Available,260.281,2.179,Not Available,Not Available,0.052,0.101,0.153,262.614
1978 July,Not Available,Not Available,52.815,52.815,Not Available,Not Available,Not Available,Not Available,1.005,Not Available,Not Available,1.005,1.005,2.752,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.692,Not Available,Not Available,Not Available,253.355,2.441,Not Available,Not Available,0.065,0.087,0.153,255.949
1978 August,Not Available,Not Available,52.815,52.815,Not Available,Not Available,Not Available,Not Available,1.005,Not Available,Not Available,1.005,1.005,2.497,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.437,Not Available,Not Available,Not Available,229.86,2.871,Not Available,Not Available,0.249,0.18,0.429,233.16
1978 September,Not Available,Not Available,51.111,51.111,Not Available,Not Available,Not Available,Not Available,0.973,Not Available,Not Available,0.973,0.973,2.384,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.487,Not Available,Not Available,Not Available,219.417,3.031,Not Available,Not Available,0.134,0.134,0.268,222.716
1978 October,Not Available,Not Available,52.815,52.815,Not Available,Not Available,Not Available,Not Available,1.005,Not Available,Not Available,1.005,1.005,2.192,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.133,Not Available,Not Available,Not Available,201.82,2.254,Not Available,Not Available,0.267,0.142,0.409,204.483
1978 November,Not Available,Not Available,51.111,51.111,Not Available,Not Available,Not Available,Not Available,0.973,Not Available,Not Available,0.973,0.973,2.246,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.349,Not Available,Not Available,Not Available,206.728,2.547,Not Available,Not Available,0.251,0.12,0.371,209.645
1978 December,Not Available,Not Available,52.815,52.815,Not Available,Not Available,Not Available,Not Available,1.005,Not Available,Not Available,1.005,1.005,2.485,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.426,Not Available,Not Available,Not Available,228.79,3.228,Not Available,Not Available,0.175,0.126,0.301,232.319
1979 January,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,3.049,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.366,Not Available,Not Available,Not Available,259.047,3.099,Not Available,Not Available,0.126,0.147,0.273,262.42
1979 February,Not Available,Not Available,55.852,55.852,Not Available,Not Available,Not Available,Not Available,1.06,Not Available,Not Available,1.06,1.06,2.593,Not Available,Not Available,Not Available,107.77,Not Available,Not Available,Not Available,107.77,110.363,Not Available,Not Available,Not Available,220.263,2.535,Not Available,Not Available,0.245,0.169,0.414,223.212
1979 March,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,3.159,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.476,Not Available,Not Available,Not Available,268.358,3.402,Not Available,Not Available,0.313,0.241,0.554,272.314
1979 April,Not Available,Not Available,59.842,59.842,Not Available,Not Available,Not Available,Not Available,1.135,Not Available,Not Available,1.135,1.135,3.094,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,118.562,Not Available,Not Available,Not Available,262.847,3.146,Not Available,Not Available,0.261,0.138,0.399,266.392
1979 May,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,3.527,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.844,Not Available,Not Available,Not Available,299.607,3.164,Not Available,Not Available,0.234,0.221,0.455,303.227
1979 June,Not Available,Not Available,59.842,59.842,Not Available,Not Available,Not Available,Not Available,1.135,Not Available,Not Available,1.135,1.135,3.044,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,118.512,Not Available,Not Available,Not Available,258.603,3.204,Not Available,Not Available,0.217,0.17,0.387,262.194
1979 July,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,2.774,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.091,Not Available,Not Available,Not Available,235.641,3.398,Not Available,Not Available,0.209,0.165,0.373,239.413
1979 August,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,2.591,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,121.908,Not Available,Not Available,Not Available,220.104,3.707,Not Available,Not Available,0.311,0.17,0.481,224.293
1979 September,Not Available,Not Available,59.842,59.842,Not Available,Not Available,Not Available,Not Available,1.135,Not Available,Not Available,1.135,1.135,2.313,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,117.781,Not Available,Not Available,Not Available,196.482,3.217,Not Available,Not Available,0.321,0.125,0.446,200.145
1979 October,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,2.458,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,121.775,Not Available,Not Available,Not Available,208.786,3.607,Not Available,Not Available,0.303,0.121,0.425,212.818
1979 November,Not Available,Not Available,59.842,59.842,Not Available,Not Available,Not Available,Not Available,1.135,Not Available,Not Available,1.135,1.135,2.726,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,118.194,Not Available,Not Available,Not Available,231.561,3.505,Not Available,Not Available,0.322,0.182,0.504,235.569
1979 December,Not Available,Not Available,61.837,61.837,Not Available,Not Available,Not Available,Not Available,1.173,Not Available,Not Available,1.173,1.173,2.769,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.087,Not Available,Not Available,Not Available,235.293,4.275,Not Available,Not Available,0.241,0.202,0.444,240.012
1980 January,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,3.029,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.549,Not Available,Not Available,Not Available,262.589,3.495,Not Available,Not Available,0.321,0.216,0.537,266.621
1980 February,Not Available,Not Available,67.35,67.35,Not Available,Not Available,Not Available,Not Available,1.664,Not Available,Not Available,1.664,1.664,2.56,Not Available,Not Available,Not Available,126.776,Not Available,Not Available,Not Available,126.776,129.336,Not Available,Not Available,Not Available,222.071,3.357,Not Available,Not Available,0.327,0.193,0.521,225.948
1980 March,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,2.914,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.433,Not Available,Not Available,Not Available,252.762,3.731,Not Available,Not Available,0.305,0.129,0.435,256.928
1980 April,Not Available,Not Available,69.672,69.672,Not Available,Not Available,Not Available,Not Available,1.721,Not Available,Not Available,1.721,1.721,3.083,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,134.231,Not Available,Not Available,Not Available,267.469,3.909,Not Available,Not Available,0.227,0.127,0.353,271.732
1980 May,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,3.457,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.976,Not Available,Not Available,Not Available,299.848,4.603,Not Available,Not Available,0.102,0.154,0.256,304.707
1980 June,Not Available,Not Available,69.672,69.672,Not Available,Not Available,Not Available,Not Available,1.721,Not Available,Not Available,1.721,1.721,3.312,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,134.46,Not Available,Not Available,Not Available,287.292,4.441,Not Available,Not Available,0.068,0.114,0.183,291.915
1980 July,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,2.924,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.443,Not Available,Not Available,Not Available,254.182,4.67,Not Available,Not Available,0.156,0.106,0.262,259.115
1980 August,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,2.452,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,137.971,Not Available,Not Available,Not Available,212.24,4.991,Not Available,Not Available,0.252,0.131,0.382,217.614
1980 September,Not Available,Not Available,69.672,69.672,Not Available,Not Available,Not Available,Not Available,1.721,Not Available,Not Available,1.721,1.721,2.214,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,133.362,Not Available,Not Available,Not Available,192.086,4.506,Not Available,Not Available,0.249,0.115,0.364,196.957
1980 October,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,2.14,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,137.659,Not Available,Not Available,Not Available,185.59,5.117,Not Available,Not Available,0.31,0.115,0.424,191.132
1980 November,Not Available,Not Available,69.672,69.672,Not Available,Not Available,Not Available,Not Available,1.721,Not Available,Not Available,1.721,1.721,2.301,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,133.449,Not Available,Not Available,Not Available,199.627,5.002,Not Available,Not Available,0.29,0.114,0.404,205.034
1980 December,Not Available,Not Available,71.995,71.995,Not Available,Not Available,Not Available,Not Available,1.779,Not Available,Not Available,1.779,1.779,2.451,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,137.97,Not Available,Not Available,Not Available,231.548,4.877,Not Available,Not Available,0.254,0.125,0.379,236.803
1981 January,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,3.048,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.979,0.571,Not Available,0.571,233.504,5.284,Not Available,Not Available,0.254,0.11,0.365,239.153
1981 February,Not Available,Not Available,66.74,66.74,Not Available,Not Available,Not Available,Not Available,1.611,Not Available,0.004,1.615,1.615,2.576,Not Available,Not Available,Not Available,122.893,6.652,0.007,0.45,130.002,132.578,0.516,Not Available,0.516,220.547,4.671,Not Available,Not Available,0.284,0.092,0.376,225.595
1981 March,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,2.932,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.863,0.571,Not Available,0.571,215.044,5.237,Not Available,Not Available,0.308,0.107,0.415,220.696
1981 April,Not Available,Not Available,71.507,71.507,Not Available,Not Available,Not Available,Not Available,1.726,Not Available,0.004,1.73,1.73,3.102,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,142.39,0.553,Not Available,0.553,216.614,4.836,Not Available,Not Available,0.291,0.099,0.39,221.84
1981 May,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,3.478,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,147.409,0.571,Not Available,0.571,251.721,4.791,Not Available,Not Available,0.149,0.104,0.253,256.765
1981 June,Not Available,Not Available,71.507,71.507,Not Available,Not Available,Not Available,Not Available,1.726,Not Available,0.004,1.73,1.73,3.333,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,142.62,0.553,Not Available,0.553,275.643,4.782,Not Available,Not Available,0.072,0.089,0.16,280.585
1981 July,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,2.942,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.873,0.571,Not Available,0.571,262.714,5.256,Not Available,Not Available,0.104,0.108,0.212,268.182
1981 August,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,2.467,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.398,0.571,Not Available,0.571,225.941,5.191,Not Available,Not Available,0.112,0.136,0.248,231.381
1981 September,Not Available,Not Available,71.507,71.507,Not Available,Not Available,Not Available,Not Available,1.726,Not Available,0.004,1.73,1.73,2.228,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,141.516,0.553,Not Available,0.553,186.288,5.224,Not Available,Not Available,0.244,0.159,0.403,191.915
1981 October,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,2.153,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.083,0.571,Not Available,0.571,189.078,5.153,Not Available,Not Available,0.27,0.132,0.402,194.633
1981 November,Not Available,Not Available,71.507,71.507,Not Available,Not Available,Not Available,Not Available,1.726,Not Available,0.004,1.73,1.73,2.316,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,141.603,0.553,Not Available,0.553,198.225,4.498,Not Available,Not Available,0.262,0.098,0.36,203.083
1981 December,Not Available,Not Available,73.89,73.89,Not Available,Not Available,Not Available,Not Available,1.784,Not Available,0.004,1.788,1.788,2.466,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.396,0.571,Not Available,0.571,249.605,4.513,Not Available,Not Available,0.214,0.047,0.261,254.379
1982 January,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,3.049,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.159,1.553,Not Available,1.553,281.166,3.975,Not Available,Not Available,0.197,0.128,0.325,285.465
1982 February,Not Available,Not Available,74.411,74.411,Not Available,Not Available,Not Available,Not Available,1.688,Not Available,0.01,1.698,1.698,2.576,Not Available,Not Available,Not Available,116.296,9.029,0.016,1.211,126.551,129.127,1.403,Not Available,1.403,279.017,3.656,Not Available,Not Available,0.204,0.109,0.313,282.985
1982 March,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,2.932,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.042,1.553,Not Available,1.553,312.415,3.22,Not Available,Not Available,0.124,0.107,0.231,315.865
1982 April,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.011,1.819,1.819,3.103,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,138.693,1.503,Not Available,1.503,291.958,3.247,Not Available,Not Available,0.103,0.08,0.183,295.388
1982 May,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,3.479,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.589,1.553,Not Available,1.553,292.408,3.773,Not Available,Not Available,0.093,0.117,0.209,296.39
1982 June,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.011,1.819,1.819,3.333,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,138.923,1.503,Not Available,1.503,292.219,4.556,Not Available,Not Available,0.118,0.111,0.228,297.003
1982 July,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,2.943,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.053,1.553,Not Available,1.553,285.33,4.792,Not Available,Not Available,0.137,0.139,0.276,290.398
1982 August,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,2.468,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,142.578,1.553,Not Available,1.553,249.792,4.776,Not Available,Not Available,0.15,0.091,0.242,254.809
1982 September,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.011,1.819,1.819,2.228,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,137.819,1.503,Not Available,1.503,207.991,4.581,Not Available,Not Available,0.227,0.082,0.309,212.881
1982 October,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,2.153,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,142.263,1.553,Not Available,1.553,206.47,4.877,Not Available,Not Available,0.324,0.123,0.447,211.794
1982 November,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.011,1.819,1.819,2.316,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,137.906,1.503,Not Available,1.503,243.545,5.122,Not Available,Not Available,0.21,0.099,0.309,248.976
1982 December,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.011,1.88,1.88,2.466,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,142.576,1.553,Not Available,1.553,290.202,4.053,Not Available,Not Available,0.161,0.122,0.283,294.538
1983 January,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,3.068,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.267,2.864,Not Available,2.864,307.547,5.087,Not Available,0.002,0.14,0.097,0.237,312.873
1983 February,Not Available,Not Available,74.411,74.411,Not Available,Not Available,Not Available,Not Available,1.688,Not Available,0.021,1.709,1.709,2.593,Not Available,Not Available,Not Available,129.644,11.913,0.023,2.213,143.792,146.385,2.587,Not Available,2.587,294.033,3.913,Not Available,0,0.128,0.111,0.239,298.185
1983 March,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,2.951,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.149,2.864,Not Available,2.864,318.779,4.51,Not Available,0.003,0.152,0.12,0.272,323.564
1983 April,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.023,1.831,1.831,3.122,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,157.185,2.772,Not Available,2.772,315.481,4.227,Not Available,0.002,0.122,0.112,0.234,319.944
1983 May,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,3.501,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.699,2.864,Not Available,2.864,328.156,3.434,Not Available,0.003,0.111,0.198,0.309,331.902
1983 June,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.023,1.831,1.831,3.354,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,157.417,2.772,Not Available,2.772,322.883,4.518,Not Available,0.002,0.144,0.2,0.344,327.747
1983 July,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,2.961,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.16,2.864,Not Available,2.864,295.753,5.627,Not Available,0.001,0.147,0.165,0.313,301.694
1983 August,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,2.483,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,161.682,2.864,Not Available,2.864,271.706,7.404,Not Available,0,0.191,0.165,0.357,279.467
1983 September,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.023,1.831,1.831,2.243,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,156.306,2.772,Not Available,2.772,228.407,6.764,Not Available,0.004,0.203,0.161,0.364,235.539
1983 October,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,2.167,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,161.365,2.864,Not Available,2.864,218.256,7.091,Not Available,0.005,0.245,0.149,0.394,225.746
1983 November,Not Available,Not Available,79.726,79.726,Not Available,Not Available,Not Available,Not Available,1.808,Not Available,0.023,1.831,1.831,2.331,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,156.394,2.772,Not Available,2.772,259.609,6.311,Not Available,0.004,0.28,0.108,0.389,266.313
1983 December,Not Available,Not Available,82.384,82.384,Not Available,Not Available,Not Available,Not Available,1.868,Not Available,0.023,1.892,1.892,2.482,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,161.68,2.864,Not Available,2.864,333.394,5.025,Not Available,0.001,0.408,0.125,0.533,338.953
1984 January,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,3.045,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.52,3.495,Not Available,3.495,310.459,5.094,-0.001,0,0.471,0.143,0.614,316.168
1984 February,Not Available,Not Available,77.65,77.65,Not Available,Not Available,Not Available,Not Available,1.743,Not Available,0.028,1.771,1.771,2.573,Not Available,Not Available,Not Available,133.036,16.13,0.041,2.786,151.993,154.566,3.27,Not Available,3.27,291.272,6.222,0.001,0.002,0.244,0.241,0.485,297.983
1984 March,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,2.928,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.404,3.495,Not Available,3.495,317.741,6.838,0.002,0.002,0.299,0.361,0.66,325.243
1984 April,Not Available,Not Available,80.328,80.328,Not Available,Not Available,Not Available,Not Available,1.803,Not Available,0.029,1.832,1.832,3.099,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,160.332,3.382,Not Available,3.382,312.886,6.748,0.003,0.006,0.15,0.351,0.501,320.144
1984 May,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,3.474,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.949,3.495,Not Available,3.495,332.133,6.473,0.007,0.008,0.163,0.377,0.54,339.161
1984 June,Not Available,Not Available,80.328,80.328,Not Available,Not Available,Not Available,Not Available,1.803,Not Available,0.029,1.832,1.832,3.329,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,160.562,3.382,Not Available,3.382,300.39,6.283,0.01,0.006,0.159,0.367,0.526,307.216
1984 July,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,2.939,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.414,3.495,Not Available,3.495,287.043,5.997,0.003,0.005,0.379,0.384,0.763,293.811
1984 August,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,2.464,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,164.939,3.495,Not Available,3.495,262.43,7.509,0.009,0.003,0.402,0.368,0.769,270.72
1984 September,Not Available,Not Available,80.328,80.328,Not Available,Not Available,Not Available,Not Available,1.803,Not Available,0.029,1.832,1.832,2.226,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,159.459,3.382,Not Available,3.382,218.311,6.763,0.01,0.005,0.456,0.364,0.819,225.909
1984 October,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,2.15,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,164.625,3.495,Not Available,3.495,218.055,7.424,0.007,0.009,0.561,0.544,1.105,226.601
1984 November,Not Available,Not Available,80.328,80.328,Not Available,Not Available,Not Available,Not Available,1.803,Not Available,0.029,1.832,1.832,2.313,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,159.547,3.382,Not Available,3.382,232.386,7.331,0.004,0.009,0.8,0.491,1.291,241.021
1984 December,Not Available,Not Available,83.005,83.005,Not Available,Not Available,Not Available,Not Available,1.863,Not Available,0.03,1.893,1.893,2.463,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,164.938,3.495,Not Available,3.495,269.703,8.127,0,0.013,0.732,0.442,1.174,279.015
1985 January,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,3.047,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.918,4.224,Not Available,4.224,287.746,8.086,0.005,0.007,0.863,0.506,1.369,297.212
1985 February,Not Available,Not Available,77.479,77.479,Not Available,Not Available,Not Available,Not Available,1.841,Not Available,0.029,1.87,1.87,2.575,Not Available,Not Available,Not Available,126.192,17.616,0.065,3.237,147.109,149.684,3.816,Not Available,3.816,270.6,7.141,-0.001,0.011,0.782,0.456,1.238,278.99
1985 March,Not Available,Not Available,85.781,85.781,Not Available,Not Available,Not Available,Not Available,2.038,Not Available,0.032,2.07,2.07,2.93,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.801,4.224,Not Available,4.224,257.413,8.314,0.001,0.007,0.842,0.547,1.39,267.126
