Month,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
2005 June,264.774,12.479,0.885,17.967,14.99,18.856,33.846,329.952
2005 July,256.595,12.726,0.723,14.208,17.093,19.635,36.728,320.98
2005 August,213.408,12.537,0.758,11.379,17.147,19.229,36.376,274.459
2005 September,171.415,12.225,0.611,14.682,15.546,18.067,33.612,232.545
2005 October,177.795,12.471,0.377,14.46,14.689,17.483,32.171,237.274
2005 November,191.225,12.195,0.128,16.095,15.024,18.711,33.735,253.377
2005 December,218.432,12.568,0.028,18.276,16.468,19.293,35.761,285.065
2006 January,268.478,12.196,0.128,23.633,16.522,20.148,36.67,341.106
2006 February,242.711,11.018,0.194,19.064,15.445,18.061,33.507,306.493
2006 March,242.044,12.511,0.331,23.395,16.013,19.19,35.203,313.484
2006 April,281.313,11.199,0.517,24.517,12.062,17.453,29.514,347.06
2006 May,303.796,10.867,0.702,24.388,13.36,19.226,32.587,372.339
2006 June,293.316,11.895,0.691,20.351,14.836,18.963,33.799,360.053
2006 July,250.122,12.511,0.612,19.392,15.886,20.168,36.055,318.692
2006 August,213.712,12.785,0.823,16.418,16.676,19.917,36.593,280.331
2006 September,168.588,12.096,0.536,18.639,15.295,19.02,34.315,234.173
2006 October,166.377,12.649,0.32,24.223,14.916,18.99,33.906,237.476
2006 November,197.422,11.977,0.156,25.199,14.873,19.698,34.572,269.324
2006 December,211.475,12.796,0.027,24.517,15.93,19.833,35.763,284.577
2007 January,255.535,12.806,0.127,24.239,19.443,19.75,39.193,331.899
2007 February,182.063,11.095,0.19,24.906,14.943,17.279,32.222,250.475
2007 March,236.913,11.902,0.479,30.117,15.013,19.7,34.713,314.124
2007 April,234.195,11.445,0.538,31.349,15.063,18.106,33.17,310.698
2007 May,255.673,11.413,0.832,29.181,13.89,19.854,33.744,330.844
2007 June,224.271,12.238,0.835,25.9,15.078,19.937,35.015,298.259
2007 July,221.274,12.359,0.848,21.333,15.635,20.529,36.164,291.979
2007 August,196.343,12.4,0.743,26.681,15.705,20.615,36.321,272.487
2007 September,144.958,12.036,0.674,28.335,15.312,19.894,35.206,221.208
2007 October,145.256,12.499,0.487,33.374,14.786,20.336,35.122,226.737
2007 November,153.738,11.969,0.24,30.591,15.172,20.546,35.718,232.257
2007 December,179.69,12.512,0.053,34.497,15.915,20.947,36.862,263.614
2008 January,203.101,11.912,0.16,42.108,16.124,20.864,36.988,294.27
2008 February,183.548,10.708,0.353,37.955,14.555,19.972,34.528,267.092
2008 March,211.71,12.325,0.735,47.122,15.212,22.667,37.879,309.771
2008 April,217.284,12.003,0.928,51.49,13.001,21.309,34.31,316.015
2008 May,266.509,12.405,0.973,52.623,12.554,21.248,33.802,366.313
2008 June,286.193,12.419,1.263,50.653,14.196,21.67,35.866,386.395
2008 July,250.573,12.601,1.092,39.499,16.226,22.856,39.082,342.847
2008 August,208.029,12.541,1.037,32.167,16.137,22.29,38.427,292.203
2008 September,158.458,12.157,0.912,30.66,14.923,20.764,35.687,237.874
2008 October,151.473,12.582,0.594,46.87,13.504,21.199,34.703,246.222
2008 November,153.189,12.153,0.284,49.207,15.039,21.284,36.323,251.157
2008 December,203.935,12.426,0.184,65.193,15.875,21.804,37.679,319.417
2009 January,227.569,12.579,0.07,58.08,16.882,20.612,37.494,335.792
2009 February,172.382,11.398,0.297,57.117,15.081,19.326,34.407,275.601
2009 March,211.05,12.691,0.762,69.287,14.479,23.538,38.016,331.806
2009 April,249.564,11.928,0.97,72.787,12.241,21.144,33.386,368.634
2009 May,286.594,12.055,1.078,61.117,12.822,21.556,34.378,395.221
2009 June,283.581,11.798,1.009,54.65,15.194,22.211,37.404,388.443
2009 July,226.851,12.253,1.183,48.36,16.248,23.147,39.395,328.041
2009 August,189.769,12.212,1.135,53.333,16.779,22.641,39.42,295.869
2009 September,168.483,11.876,0.927,45.391,14.498,21.18,35.678,262.355
2009 October,190.828,11.918,0.665,66.501,13.83,21.261,35.092,305.003
2009 November,203.641,12.427,0.394,67.102,14.914,21.912,36.826,320.39
2009 December,239.585,13.351,0.207,67.403,17.077,22.438,39.515,360.06
2010 January,216.655,12.798,0.096,66.859,17.362,21.236,38.597,335.005
2010 February,199.228,11.308,0.32,52.985,16.329,19.742,36.072,299.912
2010 March,201.859,12.747,0.74,83.78,16.444,22.427,38.871,337.997
2010 April,184.374,12.1,1.094,95.246,14.876,21.442,36.319,329.132
2010 May,242.956,12.786,1.492,84.838,14.27,21.71,35.98,378.051
2010 June,289.857,12.328,1.708,78.516,16.205,22.52,38.724,421.135
2010 July,238.097,12.425,1.566,65.589,17.274,22.749,40.023,357.7
2010 August,195.309,12.653,1.518,65.217,17.996,22.693,40.689,315.385
2010 September,167.682,12.22,1.335,69.31,16.067,21.723,37.79,288.337
2010 October,171.33,11.922,0.731,77.484,14.985,21.613,36.598,298.065
2010 November,189.516,12.218,0.745,95.08,16.297,22.713,39.011,336.57
2010 December,224.624,12.974,0.418,88.366,17.49,23.208,40.698,367.08
2011 January,246.653,13.087,0.363,83.044,16.907,20.53,37.437,380.584
2011 February,232.889,11.805,0.786,101.508,15.547,19.283,34.83,381.818
2011 March,300.657,12.995,1.13,102.409,15.293,20.91,36.202,453.394
2011 April,301.271,12.039,1.509,120.639,11.949,19.687,31.636,467.094
2011 May,314.663,12.801,1.755,114.331,13.181,20.526,33.708,477.258
2011 June,310.9,11.801,2.044,106.689,15.634,21.544,37.178,468.612
2011 July,302.878,12.33,1.755,72.731,16.96,22.358,39.318,429.012
2011 August,249.371,12.384,2.115,72.585,17.169,22.252,39.42,375.875
2011 September,206.504,11.907,1.723,66.705,15.493,21.062,36.554,323.394
2011 October,191.012,12.443,1.469,102.204,14.041,21.53,35.571,342.698
2011 November,199.495,12.351,1.001,120.782,13.667,22.022,35.69,369.319
2011 December,228.833,12.868,1.133,103.468,16.318,22.864,39.182,385.485
2012 January,217.246,12.021,0.868,129.649,16.837,21.706,38.543,398.327
2012 February,190.709,11.356,1.229,105.109,16.026,19.89,35.916,344.318
2012 March,244.296,12.229,2.106,133.407,15.607,21.808,37.415,429.454
2012 April,248.495,11.879,2.901,120.872,12.707,20.508,33.216,417.363
2012 May,270.516,12.409,4.236,119.283,14.018,21.806,35.824,442.268
2012 June,252.002,12.157,4.834,113.877,16.377,21.54,37.918,420.787
2012 July,250.764,12.567,4.678,83.91,17.736,22.668,40.404,392.323
2012 August,217.727,12.407,4.234,80.555,17.931,22.54,40.471,355.394
2012 September,165.987,12.371,4.177,83.6,16.49,21.24,37.73,303.865
2012 October,155.169,12.648,3.949,120.171,15.106,22.485,37.591,329.529
2012 November,176.215,12.819,3.189,110.788,15.019,22.542,37.561,340.571
2012 December,216.922,13.23,3.223,138.143,16.338,23.718,40.055,411.573
2013 January,233.765,13.185,2.861,140.533,17.125,21.959,39.084,429.428
2013 February,191.308,11.795,3.977,134.224,15.3,19.411,34.711,376.016
2013 March,192.993,13.15,5.689,150.249,16.977,22.519,39.496,401.576
2013 April,237.022,12.157,6.105,166.665,13.65,20.909,34.558,456.507
2013 May,268.27,12.477,6.905,154.847,15.337,22.111,37.448,479.946
2013 June,258.095,12.196,8.007,131.108,16.785,21.771,38.556,447.962
2013 July,256.931,12.755,7.627,105.792,18.448,22.437,40.885,423.99
2013 August,204.076,12.617,8.716,91.875,19.909,22.51,42.418,359.703
2013 September,159.517,12.397,8.748,111.323,18.036,21.248,39.284,331.269
2013 October,161.796,13.009,9.107,130.012,17.522,21.597,39.12,353.044
2013 November,166.667,11.74,7.62,150.652,18.528,22.031,40.559,377.239
2013 December,198.482,13.029,7.879,133.143,19.81,23.681,43.491,396.024
2014 January,204.561,12.886,6.981,170.178,21.381,23.962,45.343,439.948
2014 February,164.418,11.47,7.74,133.107,19.968,22.166,42.134,358.869
2014 March,229.56,12.721,12.234,168.537,22.136,24.083,46.218,469.271
2014 April,240.693,12.492,13.817,177.088,18.1,23.141,41.241,485.331
2014 May,251.163,12.671,16.263,148.266,17.285,23.791,41.077,469.44
2014 June,243.841,12.3,17.905,150.127,21.855,23.511,45.365,469.538
2014 July,230.76,12.549,16.626,115.798,22.764,24.823,47.587,423.319
2014 August,187.428,12.641,17.486,96.642,22.576,23.863,46.44,360.636
2014 September,152.025,12.435,17.075,109.458,20.837,22.389,43.226,334.219
2014 October,162.274,12.792,15.976,137.821,20.279,22.125,42.403,371.266
2014 November,176.162,12.957,12.847,179.24,21.604,22.023,43.627,424.834
2014 December,211.136,13.076,9.612,139.763,22.468,23.013,45.481,419.069
2015 January,223.787,12.692,10.569,141.148,22.132,22.651,44.782,432.978
2015 February,206.685,11.743,13.6,138.924,20.921,20.486,41.407,412.359
2015 March,225.035,12.991,18.986,142.515,20.609,22.403,43.011,442.538
2015 April,208.098,11.858,21.786,166.348,17.821,21.822,39.644,447.734
2015 May,186.337,12.955,22.888,159.694,18.431,22.969,41.4,423.274
2015 June,189.144,12.13,23.41,124.964,20.611,23.125,43.736,393.383
2015 July,194.729,12.643,24.038,127.349,22.354,25.607,47.961,406.721
2015 August,177.336,12.526,24.596,121.801,22.964,24.774,47.739,383.998
2015 September,149.245,11.209,20.294,130.102,19.935,23.121,43.055,353.906
2015 October,153.887,12.329,17.477,152.492,17.459,23.881,41.34,377.524
2015 November,178.943,12.428,15.857,183.241,19.195,24.738,43.933,434.402
2015 December,214.491,12.832,14.4,187.127,21.426,25.445,46.871,475.722
2016 January,235.083,12.297,13.462,170.302,20.69,23.184,43.874,475.017
2016 February,221.622,11.479,20.315,185.733,20.495,22.337,42.831,481.981
2016 March,251.347,12.142,23.733,202.364,19.47,23.599,43.07,532.655
2016 April,237.584,11.161,26.137,191.85,15.235,23.823,39.058,505.79
2016 May,234.081,12.388,31.158,173.857,15.721,23.916,39.637,491.121
2016 June,213.494,11.553,31.552,150.388,18.136,23.135,41.271,448.258
2016 July,196.98,12.105,35.88,162.53,20.066,23.534,43.601,451.096
2016 August,179.636,12.226,36.082,125.36,21.396,24.062,45.459,398.763
2016 September,150.287,12.248,33.089,151.319,19.065,22.344,41.409,388.351
2016 October,159.061,12.492,29.049,187.575,15.671,21.747,37.418,425.597
2016 November,172.837,12.591,25.198,178.988,17.837,24.077,41.914,431.528
2016 December,206.708,13.422,22.055,213.462,20.625,24.905,45.53,501.177
2017 January,255.792,12.92,19.648,191.398,20.522,24.463,44.985,524.743
2017 February,225.345,11.46,22.795,205.055,18.907,21.705,40.612,505.266
2017 March,277.595,12.739,40.45,241.042,21.962,23.751,45.713,617.539
2017 April,269.3,12.531,43.585,237.552,18.32,21.439,39.759,602.726
2017 May,295.562,11.956,52.601,208.848,19.616,22.217,41.834,610.801
2017 June,279.498,11.676,56.996,181.818,20.872,22.632,43.504,573.492
2017 July,236.374,12.628,50.173,145.422,22.172,23.339,45.511,490.107
2017 August,194.938,12.528,49.246,120.736,22.382,23.321,45.703,423.151
2017 September,174.042,12.236,47.109,159.282,19.238,21.42,40.657,433.328
2017 October,157.831,11.641,44.044,228.945,21.253,22.125,43.378,485.84
2017 November,181.922,12.316,28.484,215.103,20.277,22.271,42.548,480.373
2017 December,206.522,12.86,27.945,210.091,21.449,23.169,44.618,502.036
2018 January,233.442,12.679,29.814,247.523,21.696,23.749,45.445,568.903
2018 February,235.02,12.025,36.87,220.774,19.312,22.444,41.756,546.446
2018 March,237.629,12.786,46.593,251.566,19.892,24.071,43.964,592.537
